V [volts] - Plot 0	I [amps] - Plot 0
-2.29254	-0.0243441
-2.2857	-0.0241813
-2.28147	-0.0240511
-2.27756	-0.0239859
-2.27366	-0.0238557
-2.20788	-0.0197529
-2.13104	-0.0150966
-2.05289	-0.0109613
-1.96953	-0.00711903
-1.83245	-0.00269065
-1.72792	-0.00099745
-1.61266	-0.000411341
-1.49185	-0.000346218
-1.31114	-0.000248533
-1.18968	-0.000248533
-1.06855	-0.000215972
-0.947748	-0.000215972
-0.826294	-0.000150848
-0.644925	-0.000215972
-0.52282	-0.00018341
-0.401365	-0.000150848
-0.280887	-0.000215972
-0.159758	-0.000150848
0.0216102	-0.000248533
0.143716	-0.00018341
0.265171	-0.000248533
0.385649	-0.000215972
0.567994	-0.000150848
0.6901	-0.000215972
0.810252	-0.000150848
0.931055	-0.000150848
1.09289	0.00173772
1.16387	0.00691502
1.21955	0.0134599
1.23192	0.0150229
1.2316	0.0150229
1.23095	0.0150229
1.23095	0.015088
1.22997	0.015088
1.23095	0.0150554
1.2316	0.0149577
1.2303	0.0149577
1.22965	0.0149903
1.22997	0.0150229
1.22997	0.0149903
1.22932	0.0149577
1.22932	0.0150554
1.22997	0.0149577
1.22965	0.0149903
1.2303	0.0149903
1.22997	0.0150554
1.22932	0.0149903
1.22899	0.0149577
1.22899	0.0149903
1.22867	0.0150229
1.22834	0.0149903
1.22867	0.0149903
1.22932	0.0149903
1.22932	0.0149903
1.22834	0.0149903
1.22899	0.0149903
1.22965	0.0149903
1.22867	0.0149903
1.22867	0.0149577
1.22802	0.0149903
1.22834	0.0149577
1.22834	0.0149577
1.22834	0.0149903
1.22834	0.0149252
1.22834	0.0149252
1.22867	0.0149903
1.22802	0.0149252
1.22932	0.0150229
1.22834	0.0149577
1.22867	0.0149577
1.22737	0.0149577
1.22802	0.0148926
1.22867	0.0149577
1.22834	0.0149903
1.22802	0.0149903
1.22802	0.0149577
1.22867	0.0149577
1.22704	0.0149252
1.22802	0.0149577
1.22704	0.0150229
1.22834	0.0149903
1.22769	0.0149903
1.22867	0.0149903
1.22769	0.0149903
1.22769	0.0149577
1.22737	0.0149577
1.22802	0.0150554
1.22802	0.0149903
1.22769	0.0149577
1.22769	0.0149252
1.22802	0.0150229
1.22737	0.0148926
1.22704	0.0149903
1.22737	0.0149903
1.22769	0.0149577
