waveform	Ch0		Gen	
t0	4/22/2022  14:14:10.050150		4/22/2022  14:14:10.050152	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
4/22/2022  14:14:10.050150	-6.825974E-2	4/22/2022  14:14:10.050152	3.941148E-1
4/22/2022  14:14:10.050155	-6.825974E-2	4/22/2022  14:14:10.050157	3.928124E-1
4/22/2022  14:14:10.050160	-6.858536E-2	4/22/2022  14:14:10.050162	3.931380E-1
4/22/2022  14:14:10.050165	-6.825974E-2	4/22/2022  14:14:10.050167	3.944404E-1
4/22/2022  14:14:10.050170	-6.858536E-2	4/22/2022  14:14:10.050172	3.921611E-1
4/22/2022  14:14:10.050175	-6.891097E-2	4/22/2022  14:14:10.050177	3.928124E-1
4/22/2022  14:14:10.050180	-6.923659E-2	4/22/2022  14:14:10.050182	3.928124E-1
4/22/2022  14:14:10.050185	-6.956221E-2	4/22/2022  14:14:10.050187	3.915099E-1
4/22/2022  14:14:10.050190	-6.923659E-2	4/22/2022  14:14:10.050192	3.918355E-1
4/22/2022  14:14:10.050195	-7.021344E-2	4/22/2022  14:14:10.050197	3.924868E-1
4/22/2022  14:14:10.050200	-7.053905E-2	4/22/2022  14:14:10.050202	3.905331E-1
4/22/2022  14:14:10.050205	-6.988782E-2	4/22/2022  14:14:10.050207	3.918355E-1
4/22/2022  14:14:10.050210	-7.086467E-2	4/22/2022  14:14:10.050212	3.915099E-1
4/22/2022  14:14:10.050215	-6.988782E-2	4/22/2022  14:14:10.050217	3.898818E-1
4/22/2022  14:14:10.050220	-7.119029E-2	4/22/2022  14:14:10.050222	3.908587E-1
4/22/2022  14:14:10.050225	-7.021344E-2	4/22/2022  14:14:10.050227	3.924868E-1
4/22/2022  14:14:10.050230	-7.053905E-2	4/22/2022  14:14:10.050232	3.921611E-1
4/22/2022  14:14:10.050235	-6.923659E-2	4/22/2022  14:14:10.050237	3.905331E-1
4/22/2022  14:14:10.050240	-7.021344E-2	4/22/2022  14:14:10.050242	3.924868E-1
4/22/2022  14:14:10.050245	-7.053905E-2	4/22/2022  14:14:10.050247	3.928124E-1
4/22/2022  14:14:10.050250	-6.923659E-2	4/22/2022  14:14:10.050252	3.928124E-1
4/22/2022  14:14:10.050255	-6.891097E-2	4/22/2022  14:14:10.050257	3.931380E-1
4/22/2022  14:14:10.050260	-6.891097E-2	4/22/2022  14:14:10.050262	3.918355E-1
4/22/2022  14:14:10.050265	-6.891097E-2	4/22/2022  14:14:10.050267	3.921611E-1
4/22/2022  14:14:10.050270	-7.021344E-2	4/22/2022  14:14:10.050272	3.931380E-1
4/22/2022  14:14:10.050275	-6.956221E-2	4/22/2022  14:14:10.050277	3.921611E-1
4/22/2022  14:14:10.050280	-6.988782E-2	4/22/2022  14:14:10.050282	3.908587E-1
4/22/2022  14:14:10.050285	-6.956221E-2	4/22/2022  14:14:10.050287	3.924868E-1
4/22/2022  14:14:10.050290	-6.988782E-2	4/22/2022  14:14:10.050292	3.924868E-1
4/22/2022  14:14:10.050295	-6.923659E-2	4/22/2022  14:14:10.050297	3.921611E-1
4/22/2022  14:14:10.050300	-6.923659E-2	4/22/2022  14:14:10.050302	3.915099E-1
4/22/2022  14:14:10.050305	-6.988782E-2	4/22/2022  14:14:10.050307	3.928124E-1
4/22/2022  14:14:10.050310	-7.021344E-2	4/22/2022  14:14:10.050312	3.915099E-1
4/22/2022  14:14:10.050315	-6.988782E-2	4/22/2022  14:14:10.050317	3.924868E-1
4/22/2022  14:14:10.050320	-6.956221E-2	4/22/2022  14:14:10.050322	3.924868E-1
4/22/2022  14:14:10.050325	-6.891097E-2	4/22/2022  14:14:10.050327	3.924868E-1
4/22/2022  14:14:10.050330	-7.053905E-2	4/22/2022  14:14:10.050332	3.918355E-1
4/22/2022  14:14:10.050335	-7.086467E-2	4/22/2022  14:14:10.050337	3.931380E-1
4/22/2022  14:14:10.050340	-7.021344E-2	4/22/2022  14:14:10.050342	3.918355E-1
4/22/2022  14:14:10.050345	-7.021344E-2	4/22/2022  14:14:10.050347	3.911843E-1
4/22/2022  14:14:10.050350	-6.923659E-2	4/22/2022  14:14:10.050352	3.931380E-1
4/22/2022  14:14:10.050355	-7.021344E-2	4/22/2022  14:14:10.050357	3.918355E-1
4/22/2022  14:14:10.050360	-7.021344E-2	4/22/2022  14:14:10.050362	3.911843E-1
4/22/2022  14:14:10.050365	-6.988782E-2	4/22/2022  14:14:10.050367	3.924868E-1
4/22/2022  14:14:10.050370	-7.021344E-2	4/22/2022  14:14:10.050372	3.924868E-1
4/22/2022  14:14:10.050375	-6.988782E-2	4/22/2022  14:14:10.050377	3.915099E-1
4/22/2022  14:14:10.050380	-6.988782E-2	4/22/2022  14:14:10.050382	3.921611E-1
4/22/2022  14:14:10.050385	-6.988782E-2	4/22/2022  14:14:10.050387	3.928124E-1
4/22/2022  14:14:10.050390	-6.988782E-2	4/22/2022  14:14:10.050392	3.921611E-1
4/22/2022  14:14:10.050395	-6.891097E-2	4/22/2022  14:14:10.050397	3.924868E-1
4/22/2022  14:14:10.050400	-7.053905E-2	4/22/2022  14:14:10.050402	3.918355E-1
4/22/2022  14:14:10.050405	-6.956221E-2	4/22/2022  14:14:10.050407	3.915099E-1
4/22/2022  14:14:10.050410	-6.988782E-2	4/22/2022  14:14:10.050412	3.921611E-1
4/22/2022  14:14:10.050415	-6.923659E-2	4/22/2022  14:14:10.050417	3.924868E-1
4/22/2022  14:14:10.050420	-7.053905E-2	4/22/2022  14:14:10.050422	3.918355E-1
4/22/2022  14:14:10.050425	-6.988782E-2	4/22/2022  14:14:10.050427	3.911843E-1
4/22/2022  14:14:10.050430	-7.021344E-2	4/22/2022  14:14:10.050432	3.928124E-1
4/22/2022  14:14:10.050435	-6.956221E-2	4/22/2022  14:14:10.050437	3.924868E-1
4/22/2022  14:14:10.050440	-6.988782E-2	4/22/2022  14:14:10.050442	3.918355E-1
4/22/2022  14:14:10.050445	-6.891097E-2	4/22/2022  14:14:10.050447	3.928124E-1
4/22/2022  14:14:10.050450	-6.923659E-2	4/22/2022  14:14:10.050452	3.921611E-1
4/22/2022  14:14:10.050455	-6.988782E-2	4/22/2022  14:14:10.050457	3.921611E-1
4/22/2022  14:14:10.050460	-6.988782E-2	4/22/2022  14:14:10.050462	3.931380E-1
4/22/2022  14:14:10.050465	-6.988782E-2	4/22/2022  14:14:10.050467	3.921611E-1
4/22/2022  14:14:10.050470	-6.923659E-2	4/22/2022  14:14:10.050472	3.918355E-1
4/22/2022  14:14:10.050475	-7.053905E-2	4/22/2022  14:14:10.050477	3.928124E-1
4/22/2022  14:14:10.050480	-6.988782E-2	4/22/2022  14:14:10.050482	3.921611E-1
4/22/2022  14:14:10.050485	-7.053905E-2	4/22/2022  14:14:10.050487	3.921611E-1
4/22/2022  14:14:10.050490	-6.988782E-2	4/22/2022  14:14:10.050492	3.924868E-1
4/22/2022  14:14:10.050495	-6.988782E-2	4/22/2022  14:14:10.050497	3.915099E-1
4/22/2022  14:14:10.050500	-7.021344E-2	4/22/2022  14:14:10.050502	3.931380E-1
4/22/2022  14:14:10.050505	-7.053905E-2	4/22/2022  14:14:10.050507	3.928124E-1
4/22/2022  14:14:10.050510	-6.988782E-2	4/22/2022  14:14:10.050512	3.918355E-1
4/22/2022  14:14:10.050515	-6.988782E-2	4/22/2022  14:14:10.050517	3.915099E-1
4/22/2022  14:14:10.050520	-6.988782E-2	4/22/2022  14:14:10.050522	3.931380E-1
4/22/2022  14:14:10.050525	-7.021344E-2	4/22/2022  14:14:10.050527	3.931380E-1
4/22/2022  14:14:10.050530	-6.956221E-2	4/22/2022  14:14:10.050532	3.918355E-1
4/22/2022  14:14:10.050535	-6.923659E-2	4/22/2022  14:14:10.050537	3.918355E-1
4/22/2022  14:14:10.050540	-7.053905E-2	4/22/2022  14:14:10.050542	3.928124E-1
4/22/2022  14:14:10.050545	-7.021344E-2	4/22/2022  14:14:10.050547	3.934636E-1
4/22/2022  14:14:10.050550	-6.956221E-2	4/22/2022  14:14:10.050552	3.921611E-1
4/22/2022  14:14:10.050555	-6.988782E-2	4/22/2022  14:14:10.050557	3.924868E-1
4/22/2022  14:14:10.050560	-6.923659E-2	4/22/2022  14:14:10.050562	3.921611E-1
4/22/2022  14:14:10.050565	-6.923659E-2	4/22/2022  14:14:10.050567	3.934636E-1
4/22/2022  14:14:10.050570	-7.021344E-2	4/22/2022  14:14:10.050572	3.928124E-1
4/22/2022  14:14:10.050575	-6.988782E-2	4/22/2022  14:14:10.050577	3.915099E-1
4/22/2022  14:14:10.050580	-6.988782E-2	4/22/2022  14:14:10.050582	3.934636E-1
4/22/2022  14:14:10.050585	-6.891097E-2	4/22/2022  14:14:10.050587	3.928124E-1
4/22/2022  14:14:10.050590	-6.988782E-2	4/22/2022  14:14:10.050592	3.921611E-1
4/22/2022  14:14:10.050595	-6.923659E-2	4/22/2022  14:14:10.050597	3.928124E-1
4/22/2022  14:14:10.050600	-6.923659E-2	4/22/2022  14:14:10.050602	3.934636E-1
4/22/2022  14:14:10.050605	-7.021344E-2	4/22/2022  14:14:10.050607	3.918355E-1
4/22/2022  14:14:10.050610	-6.988782E-2	4/22/2022  14:14:10.050612	3.921611E-1
4/22/2022  14:14:10.050615	-6.988782E-2	4/22/2022  14:14:10.050617	3.934636E-1
4/22/2022  14:14:10.050620	-6.923659E-2	4/22/2022  14:14:10.050622	3.928124E-1
4/22/2022  14:14:10.050625	-6.956221E-2	4/22/2022  14:14:10.050627	3.918355E-1
4/22/2022  14:14:10.050630	-7.053905E-2	4/22/2022  14:14:10.050632	3.931380E-1
4/22/2022  14:14:10.050635	-6.988782E-2	4/22/2022  14:14:10.050637	3.934636E-1
4/22/2022  14:14:10.050640	-6.956221E-2	4/22/2022  14:14:10.050642	3.924868E-1
4/22/2022  14:14:10.050645	-7.053905E-2	4/22/2022  14:14:10.050647	3.937892E-1
4/22/2022  14:14:10.050650	-6.956221E-2	4/22/2022  14:14:10.050652	3.928124E-1
4/22/2022  14:14:10.050655	-6.988782E-2	4/22/2022  14:14:10.050657	3.924868E-1
4/22/2022  14:14:10.050660	-7.053905E-2	4/22/2022  14:14:10.050662	3.931380E-1
4/22/2022  14:14:10.050665	-7.021344E-2	4/22/2022  14:14:10.050667	3.928124E-1
4/22/2022  14:14:10.050670	-7.053905E-2	4/22/2022  14:14:10.050672	3.911843E-1
4/22/2022  14:14:10.050675	-6.956221E-2	4/22/2022  14:14:10.050677	3.934636E-1
4/22/2022  14:14:10.050680	-6.923659E-2	4/22/2022  14:14:10.050682	3.931380E-1
4/22/2022  14:14:10.050685	-6.988782E-2	4/22/2022  14:14:10.050687	3.921611E-1
4/22/2022  14:14:10.050690	-6.956221E-2	4/22/2022  14:14:10.050692	3.931380E-1
4/22/2022  14:14:10.050695	-7.053905E-2	4/22/2022  14:14:10.050697	3.931380E-1
4/22/2022  14:14:10.050700	-6.956221E-2	4/22/2022  14:14:10.050702	3.928124E-1
4/22/2022  14:14:10.050705	-6.988782E-2	4/22/2022  14:14:10.050707	3.934636E-1
4/22/2022  14:14:10.050710	-7.053905E-2	4/22/2022  14:14:10.050712	3.937892E-1
4/22/2022  14:14:10.050715	-6.891097E-2	4/22/2022  14:14:10.050717	3.931380E-1
4/22/2022  14:14:10.050720	-6.988782E-2	4/22/2022  14:14:10.050722	3.931380E-1
4/22/2022  14:14:10.050725	-6.988782E-2	4/22/2022  14:14:10.050727	3.928124E-1
4/22/2022  14:14:10.050730	-6.956221E-2	4/22/2022  14:14:10.050732	3.924868E-1
4/22/2022  14:14:10.050735	-7.021344E-2	4/22/2022  14:14:10.050737	3.928124E-1
4/22/2022  14:14:10.050740	-7.053905E-2	4/22/2022  14:14:10.050742	3.931380E-1
4/22/2022  14:14:10.050745	-6.988782E-2	4/22/2022  14:14:10.050747	3.924868E-1
4/22/2022  14:14:10.050750	-7.021344E-2	4/22/2022  14:14:10.050752	3.928124E-1
4/22/2022  14:14:10.050755	-7.021344E-2	4/22/2022  14:14:10.050757	3.934636E-1
4/22/2022  14:14:10.050760	-7.021344E-2	4/22/2022  14:14:10.050762	3.931380E-1
4/22/2022  14:14:10.050765	-6.988782E-2	4/22/2022  14:14:10.050767	3.931380E-1
4/22/2022  14:14:10.050770	-7.021344E-2	4/22/2022  14:14:10.050772	3.937892E-1
4/22/2022  14:14:10.050775	-6.988782E-2	4/22/2022  14:14:10.050777	3.928124E-1
4/22/2022  14:14:10.050780	-6.988782E-2	4/22/2022  14:14:10.050782	3.921611E-1
4/22/2022  14:14:10.050785	-6.988782E-2	4/22/2022  14:14:10.050787	3.934636E-1
4/22/2022  14:14:10.050790	-7.021344E-2	4/22/2022  14:14:10.050792	3.934636E-1
4/22/2022  14:14:10.050795	-7.021344E-2	4/22/2022  14:14:10.050797	3.941148E-1
4/22/2022  14:14:10.050800	-6.956221E-2	4/22/2022  14:14:10.050802	3.928124E-1
4/22/2022  14:14:10.050805	-6.956221E-2	4/22/2022  14:14:10.050807	3.934636E-1
4/22/2022  14:14:10.050810	-7.086467E-2	4/22/2022  14:14:10.050812	3.928124E-1
4/22/2022  14:14:10.050815	-6.988782E-2	4/22/2022  14:14:10.050817	3.931380E-1
4/22/2022  14:14:10.050820	-6.988782E-2	4/22/2022  14:14:10.050822	3.924868E-1
4/22/2022  14:14:10.050825	-7.021344E-2	4/22/2022  14:14:10.050827	3.921611E-1
4/22/2022  14:14:10.050830	-6.988782E-2	4/22/2022  14:14:10.050832	3.928124E-1
