Time,V(C1.nA)
0.00005,0.00990099
0.0001,0.019703951
0.00015,0.029409852
0.0002,0.039019656
0.00025,0.048534312
0.0003,0.057954765
0.00035,0.067281945
0.0004,0.076516778
0.00045,0.085660176
0.0005,0.094713045
0.00055,0.103676282
0.0006,0.112550775
0.00065,0.121337401
0.0007,0.13003703
0.00075,0.138650525
0.0008,0.147178738
0.00085,0.155622513
0.0009,0.163982686
0.00095,0.172260085
0.001,0.18045553
0.00105,0.188569831
0.0011,0.196603793
0.00115,0.204558211
0.0012,0.212433873
0.00125,0.220231557
0.0013,0.227952037
0.00135,0.235596076
0.0014,0.243164432
0.00145,0.250657853
0.0015,0.258077082
0.00155,0.265422854
0.0016,0.272695895
0.00165,0.279896925
0.0017,0.287026659
0.00175,0.294085801
0.0018,0.30107505
0.00185,0.307995099
0.0019,0.314846633
0.00195,0.32163033
0.002,0.328346861
0.00205,0.334996892
0.0021,0.341581081
0.00215,0.348100081
0.0022,0.354554535
0.00225,0.360945084
0.0023,0.367272361
0.00235,0.373536991
0.0024,0.379739595
0.00245,0.385880787
0.0025,0.391961175
0.00255,0.397981362
0.0026,0.403941942
0.00265,0.409843507
0.0027,0.415686641
0.00275,0.421471922
0.0028,0.427199922
0.00285,0.43287121
0.0029,0.438486347
0.00295,0.444045888
0.003,0.449550384
0.00305,0.45500038
0.0031,0.460396416
0.00315,0.465739026
0.0032,0.471028738
0.00325,0.476266078
0.0033,0.481451562
0.00335,0.486585705
0.0034,0.491669015
0.00345,0.496701995
0.0035,0.501685143
0.00355,0.506618954
0.0036,0.511503915
0.00365,0.51634051
0.0037,0.521129218
0.00375,0.525870512
0.0038,0.530564864
0.00385,0.535212736
0.0039,0.53981459
0.00395,0.544370882
0.004,0.548882061
0.00405,0.553348575
0.0041,0.557770867
0.00415,0.562149373
0.0042,0.566484528
0.00425,0.57077676
0.0043,0.575026495
0.00435,0.579234154
0.0044,0.583400152
0.00445,0.587524903
0.0045,0.591608815
0.00455,0.595652292
0.0046,0.599655735
0.00465,0.603619539
0.0047,0.607544098
0.00475,0.6114298
0.0048,0.61527703
0.00485,0.619086168
0.0049,0.622857592
0.00495,0.626591676
0.005,0.630288788
0.00505,0.633949295
0.0051,0.637573559
0.00515,0.64116194
0.0052,0.644714792
0.00525,0.648232467
0.0053,0.651715314
0.00535,0.655163677
0.0054,0.658577898
0.00545,0.661958315
0.0055,0.665305262
0.00555,0.668619072
0.0056,0.671900071
0.00565,0.675148585
0.0057,0.678364936
0.00575,0.681549441
0.0058,0.684702417
0.00585,0.687824175
0.0059,0.690915025
0.00595,0.693975273
0.006,0.69700522
0.00605,0.700005169
0.0061,0.702975414
0.00615,0.705916252
0.0062,0.708827972
0.00625,0.711710864
0.0063,0.714565211
0.00635,0.717391299
0.0064,0.720189404
0.00645,0.722959806
0.0065,0.725702779
0.00655,0.728418593
0.0066,0.731107518
0.00665,0.733769819
0.0067,0.736405762
0.00675,0.739015606
0.0068,0.74159961
0.00685,0.744158029
0.0069,0.746691118
0.00695,0.749199127
0.007,0.751682304
0.00705,0.754140895
0.0071,0.756575143
0.00715,0.75898529
0.0072,0.761371575
0.00725,0.763734232
0.0073,0.766073497
0.00735,0.768389601
0.0074,0.770682774
0.00745,0.772953241
0.0075,0.775201229
0.00755,0.777426959
0.0076,0.779630653
0.00765,0.781812528
0.0077,0.7839728
0.00775,0.786111683
0.0078,0.788229389
0.00785,0.790326128
0.0079,0.792402107
0.00795,0.794457531
0.008,0.796492605
0.00805,0.79850753
0.0081,0.800502505
0.00815,0.802477728
0.0082,0.804433394
0.00825,0.806369697
0.0083,0.808286828
0.00835,0.810184979
0.0084,0.812064335
0.00845,0.813925084
0.0085,0.81576741
0.00855,0.817591495
0.0086,0.81939752
0.00865,0.821185663
0.0087,0.822956102
0.00875,0.824709012
0.0088,0.826444567
0.00885,0.828162937
0.0089,0.829864294
0.00895,0.831548806
0.009,0.83321664
0.00905,0.83486796
0.0091,0.836502931
0.00915,0.838121714
0.0092,0.839724469
0.00925,0.841311356
0.0093,0.84288253
0.00935,0.844438149
0.0094,0.845978365
0.00945,0.847503332
0.0095,0.8490132
0.00955,0.850508119
0.0096,0.851988236
0.00965,0.853453699
0.0097,0.854904653
0.00975,0.85634124
0.0098,0.857763604
0.00985,0.859171885
0.0099,0.860566223
0.00995,0.861946756
0.01,0.863313619
0.01005,0.86466695
0.0101,0.866006881
0.01015,0.867333546
0.0102,0.868647075
0.01025,0.869947599
0.0103,0.871235247
0.01035,0.872510145
0.0104,0.873772421
0.01045,0.875022199
0.0105,0.876259603
0.01055,0.877484755
0.0106,0.878697778
0.01065,0.87989879
0.0107,0.881087911
0.01075,0.882265258
0.0108,0.883430948
0.01085,0.884585097
0.0109,0.885727819
0.01095,0.886859227
0.011,0.887979433
0.01105,0.889088547
0.0111,0.89018668
0.01115,0.891273941
0.0112,0.892350437
0.01125,0.893416274
0.0113,0.894471558
0.01135,0.895516394
0.0114,0.896550886
0.01145,0.897575134
0.0115,0.898589242
0.01155,0.899593309
0.0116,0.900587434
0.01165,0.901571717
0.0117,0.902546255
0.01175,0.903511143
0.0118,0.904466478
0.01185,0.905412355
0.0119,0.906348866
0.01195,0.907276105
0.012,0.908194163
0.01205,0.909103132
0.0121,0.910003101
0.01215,0.91089416
0.0122,0.911776396
0.01225,0.912649897
0.0123,0.913514749
0.01235,0.914371039
0.0124,0.91521885
0.01245,0.916058268
0.0125,0.916889374
0.01255,0.917712251
0.0126,0.918526982
0.01265,0.919333645
0.0127,0.920132322
0.01275,0.920923091
0.0128,0.921706031
0.01285,0.922481218
0.0129,0.923248731
0.01295,0.924008645
0.013,0.924761034
0.01305,0.925505975
0.0131,0.926243539
0.01315,0.926973801
0.0132,0.927696833
0.01325,0.928412706
0.0133,0.929121491
0.01335,0.929823258
0.0134,0.930518078
0.01345,0.931206017
0.0135,0.931887146
0.01355,0.932561531
0.0136,0.933229238
0.01365,0.933890335
0.0137,0.934544886
0.01375,0.935192956
0.0138,0.93583461
0.01385,0.936469911
0.0139,0.937098922
0.01395,0.937721705
0.014,0.938338322
0.01405,0.938948833
0.0141,0.9395533
0.01415,0.940151783
0.0142,0.940744339
0.01425,0.941331029
0.0143,0.94191191
0.01435,0.942487039
0.0144,0.943056475
0.01445,0.943620272
0.0145,0.944178487
0.01455,0.944731175
0.0146,0.945278391
0.01465,0.94582019
0.0147,0.946356623
0.01475,0.946887746
0.0148,0.94741361
0.01485,0.947934267
0.0149,0.948449769
0.01495,0.948960168
0.015,0.949465513
0.01505,0.949965854
0.0151,0.950461242
0.01515,0.950951724
0.0152,0.951437351
0.01525,0.951918169
0.0153,0.952394227
0.01535,0.952865571
0.0154,0.953332249
0.01545,0.953794306
0.0155,0.954251788
0.01555,0.95470474
0.0156,0.955153208
0.01565,0.955597236
0.0157,0.956036867
0.01575,0.956472146
0.0158,0.956903115
0.01585,0.957329816
0.0159,0.957752294
0.01595,0.958170588
0.016,0.95858474
0.01605,0.958994792
0.0161,0.959400784
0.01615,0.959802757
0.0162,0.960200749
0.01625,0.960594801
0.0163,0.960984952
0.01635,0.961371239
0.0164,0.961753702
0.01645,0.962132379
0.0165,0.962507306
0.01655,0.96287852
0.0166,0.96324606
0.01665,0.96360996
0.0167,0.963970258
0.01675,0.964326988
0.0168,0.964680186
0.01685,0.965029887
0.0169,0.965376126
0.01695,0.965718936
0.017,0.966058353
0.01705,0.966394409
0.0171,0.966727137
0.01715,0.967056572
0.0172,0.967382744
0.01725,0.967705687
0.0173,0.968025433
0.01735,0.968342013
0.0174,0.968655458
0.01745,0.9689658
0.0175,0.96927307
0.01755,0.969577297
0.0176,0.969878512
0.01765,0.970176744
0.0177,0.970472024
0.01775,0.97076438
0.0178,0.971053842
0.01785,0.971340437
0.0179,0.971624195
0.01795,0.971905144
0.018,0.972183311
0.01805,0.972458724
0.0181,0.972731409
0.01815,0.973001396
0.0182,0.973268708
0.01825,0.973533375
0.0183,0.97379542
0.01835,0.974054872
0.0184,0.974311754
0.01845,0.974566093
0.0185,0.974817914
0.01855,0.975067242
0.0186,0.975314101
0.01865,0.975558516
0.0187,0.97580051
0.01875,0.976040109
0.0188,0.976277336
0.01885,0.976512214
0.0189,0.976744766
0.01895,0.976975016
0.019,0.977202986
0.01905,0.977428699
0.0191,0.977652177
0.01915,0.977873443
0.0192,0.978092518
0.01925,0.978309424
0.0193,0.978524182
0.01935,0.978736814
