	Ch0	Gen
	18:31.0	18:31.0
	4.00E-05	4.00E-05
		
Time	Ch0	Gen
0	1.61E-01	9.86E-01
0.00004	-1.82E-03	9.77E-01
0.00008	-2.14E-03	9.68E-01
0.00012	-2.47E-03	9.58E-01
0.00016	-2.14E-03	9.50E-01
0.0002	-1.82E-03	9.41E-01
0.00024	-1.82E-03	9.32E-01
0.00028	-1.82E-03	9.24E-01
0.00032	-1.16E-03	9.17E-01
0.00036	-2.79E-03	9.08E-01
0.0004	-3.45E-03	9.01E-01
0.00044	-1.49E-03	8.93E-01
0.00048	-2.47E-03	8.86E-01
0.00052	-1.49E-03	8.78E-01
0.00056	-2.79E-03	8.70E-01
0.0006	-1.82E-03	8.63E-01
0.00064	-2.14E-03	8.56E-01
0.00068	-1.49E-03	8.49E-01
0.00072	-2.47E-03	8.42E-01
0.00076	-2.14E-03	8.35E-01
0.0008	-2.79E-03	8.27E-01
0.00084	-1.49E-03	8.20E-01
0.00088	-2.14E-03	8.14E-01
0.00092	-2.14E-03	8.07E-01
0.00096	-2.14E-03	8.00E-01
0.001	-1.82E-03	7.93E-01
0.00104	-2.14E-03	7.86E-01
0.00108	-1.82E-03	7.80E-01
0.00112	-2.14E-03	7.74E-01
0.00116	-2.14E-03	7.68E-01
0.0012	-2.79E-03	7.61E-01
0.00124	-2.47E-03	7.55E-01
0.00128	-2.79E-03	7.48E-01
0.00132	-1.49E-03	7.42E-01
0.00136	-1.49E-03	7.36E-01
0.0014	-1.49E-03	7.30E-01
0.00144	-2.47E-03	7.24E-01
0.00148	-1.82E-03	7.18E-01
0.00152	-1.82E-03	7.12E-01
0.00156	-2.14E-03	7.06E-01
0.0016	-1.49E-03	7.00E-01
0.00164	-2.47E-03	6.94E-01
0.00168	-1.49E-03	6.90E-01
0.00172	-1.49E-03	6.83E-01
0.00176	-8.37E-04	6.78E-01
0.0018	-2.14E-03	6.72E-01
0.00184	-1.49E-03	6.66E-01
0.00188	-1.49E-03	6.61E-01
0.00192	-2.14E-03	6.55E-01
0.00196	-1.49E-03	6.50E-01
0.002	-2.79E-03	6.45E-01
0.00204	-2.47E-03	6.40E-01
0.00208	-1.82E-03	6.34E-01
0.00212	-1.82E-03	6.29E-01
0.00216	-1.82E-03	6.25E-01
0.0022	-2.79E-03	6.18E-01
0.00224	-2.14E-03	6.13E-01
0.00228	-1.82E-03	6.09E-01
0.00232	-2.47E-03	6.04E-01
0.00236	-2.47E-03	5.99E-01
0.0024	-2.79E-03	5.94E-01
0.00244	-2.14E-03	5.89E-01
0.00248	-1.82E-03	5.84E-01
0.00252	-1.82E-03	5.79E-01
0.00256	-1.16E-03	5.75E-01
0.0026	-2.14E-03	5.70E-01
0.00264	-1.49E-03	5.66E-01
0.00268	-2.47E-03	5.61E-01
0.00272	-1.49E-03	5.57E-01
0.00276	-2.14E-03	5.52E-01
0.0028	-2.47E-03	5.48E-01
0.00284	-1.82E-03	5.43E-01
0.00288	-2.47E-03	5.38E-01
0.00292	-1.82E-03	5.34E-01
0.00296	-1.49E-03	5.30E-01
0.003	-1.49E-03	5.26E-01
0.00304	-2.14E-03	5.21E-01
0.00308	-1.49E-03	5.17E-01
0.00312	-2.47E-03	5.13E-01
0.00316	-1.49E-03	5.08E-01
0.0032	-2.47E-03	5.04E-01
