waveform	Ch0		Gen	
t0	2/11/2022  15:31:14.317747		2/11/2022  15:31:14.317751	
delta t	8.000000E-6		8.000000E-6	

time[0]	Ch0	time[1]	Gen
2/11/2022  15:31:14.317747	-1.920116E-3	2/11/2022  15:31:14.317751	-7.150895E-2
2/11/2022  15:31:14.317755	-1.920116E-3	2/11/2022  15:31:14.317759	-6.952461E-2
2/11/2022  15:31:14.317763	-1.988542E-3	2/11/2022  15:31:14.317767	-6.706129E-2
2/11/2022  15:31:14.317771	-2.193819E-3	2/11/2022  15:31:14.317775	-6.521380E-2
2/11/2022  15:31:14.317779	-2.125393E-3	2/11/2022  15:31:14.317783	-6.288733E-2
2/11/2022  15:31:14.317787	-1.714839E-3	2/11/2022  15:31:14.317791	-6.056086E-2
2/11/2022  15:31:14.317795	-1.920116E-3	2/11/2022  15:31:14.317799	-5.843966E-2
2/11/2022  15:31:14.317803	-2.535947E-3	2/11/2022  15:31:14.317807	-5.590792E-2
2/11/2022  15:31:14.317811	-2.535947E-3	2/11/2022  15:31:14.317815	-5.371830E-2
2/11/2022  15:31:14.317819	-1.920116E-3	2/11/2022  15:31:14.317823	-5.118655E-2
2/11/2022  15:31:14.317827	-1.988542E-3	2/11/2022  15:31:14.317831	-4.844952E-2
2/11/2022  15:31:14.317835	-1.920116E-3	2/11/2022  15:31:14.317839	-4.605463E-2
2/11/2022  15:31:14.317843	-2.330670E-3	2/11/2022  15:31:14.317847	-4.359131E-2
2/11/2022  15:31:14.317851	-2.330670E-3	2/11/2022  15:31:14.317855	-4.078586E-2
2/11/2022  15:31:14.317859	-1.646414E-3	2/11/2022  15:31:14.317863	-3.852781E-2
2/11/2022  15:31:14.317867	-1.783265E-3	2/11/2022  15:31:14.317871	-3.572236E-2
2/11/2022  15:31:14.317875	-2.056967E-3	2/11/2022  15:31:14.317879	-3.339589E-2
2/11/2022  15:31:14.317883	-2.193819E-3	2/11/2022  15:31:14.317887	-3.072729E-2
2/11/2022  15:31:14.317891	-2.193819E-3	2/11/2022  15:31:14.317895	-2.819555E-2
2/11/2022  15:31:14.317899	-2.056967E-3	2/11/2022  15:31:14.317903	-2.573223E-2
2/11/2022  15:31:14.317907	-1.783265E-3	2/11/2022  15:31:14.317911	-2.292678E-2
2/11/2022  15:31:14.317915	-1.920116E-3	2/11/2022  15:31:14.317919	-2.066873E-2
2/11/2022  15:31:14.317923	-1.988542E-3	2/11/2022  15:31:14.317927	-1.813698E-2
2/11/2022  15:31:14.317931	-2.809649E-3	2/11/2022  15:31:14.317935	-1.553681E-2
2/11/2022  15:31:14.317939	-1.646414E-3	2/11/2022  15:31:14.317943	-1.307349E-2
2/11/2022  15:31:14.317947	-2.056967E-3	2/11/2022  15:31:14.317951	-1.074702E-2
2/11/2022  15:31:14.317955	-2.056967E-3	2/11/2022  15:31:14.317959	-8.420548E-3
2/11/2022  15:31:14.317963	-2.193819E-3	2/11/2022  15:31:14.317967	-6.162503E-3
2/11/2022  15:31:14.317971	-1.988542E-3	2/11/2022  15:31:14.317975	-3.562331E-3
2/11/2022  15:31:14.317979	-1.988542E-3	2/11/2022  15:31:14.317983	-1.441137E-3
2/11/2022  15:31:14.317987	-2.262244E-3	2/11/2022  15:31:14.317991	6.800566E-4
2/11/2022  15:31:14.317995	-1.920116E-3	2/11/2022  15:31:14.317999	3.211804E-3
2/11/2022  15:31:14.318003	-2.056967E-3	2/11/2022  15:31:14.318007	5.127721E-3
2/11/2022  15:31:14.318011	-2.946500E-3	2/11/2022  15:31:14.318015	7.043638E-3
2/11/2022  15:31:14.318019	-2.193819E-3	2/11/2022  15:31:14.318023	9.096406E-3
2/11/2022  15:31:14.318027	-2.193819E-3	2/11/2022  15:31:14.318031	1.101232E-2
2/11/2022  15:31:14.318035	-2.399095E-3	2/11/2022  15:31:14.318039	1.306509E-2
