2/18/2022	3:07 PM
Amplitude: 0.20 V
Freq (Hz) 	 Gain (dB) 	 Phase (deg)
3.000 -0.056 -5.701
3.777 -0.084 -7.141
4.755 -0.127 -8.933
5.986 -0.193 -11.159
7.536 -0.293 -13.893
9.487 -0.446 -17.235
11.943 -0.673 -21.245
15.036 -1.005 -25.936
18.929 -1.479 -31.285
23.830 -2.125 -37.141
30.000 -2.974 -43.284
37.768 -4.031 -49.382
47.547 -5.284 -55.165
59.858 -6.701 -60.394
75.357 -8.288 -64.954
94.868 -9.988 -68.906
119.432 -11.763 -72.074
150.356 -13.582 -74.600
189.287 -15.435 -76.453
238.298 -17.298 -78.049
300.000 -19.158 -79.082
377.678 -21.027 -79.918
475.468 -22.897 -80.368
