2/25/2022	3:46 PM
Amplitude: 0.20 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
10.000	18.675	147.758
12.589	17.995	141.667
15.849	17.106	135.310
19.953	15.988	128.969
25.119	14.666	123.006
31.623	13.161	117.642
39.811	11.514	113.005
50.119	9.764	109.164
63.096	7.945	106.011
79.433	6.080	103.563
100.000	4.193	101.629
125.893	2.285	100.163
158.489	0.371	98.976
199.526	-1.538	98.217
251.189	-3.444	97.695
316.228	-5.351	97.547
398.107	-7.246	97.437
501.187	-9.126	97.106
630.957	-10.994	97.305
794.328	-12.855	97.366
1000.000	-14.721	97.538
1258.925	-16.579	98.018
1584.893	-18.421	98.369
1995.262	-20.263	98.763
2511.886	-22.088	99.304
3162.278	-23.910	99.921
3981.072	-25.729	100.664
5011.872	-27.506	101.579
6309.573	-29.274	102.763
7943.282	-30.964	104.207
10000.000	-32.516	106.932
12589.254	-34.096	107.779
15848.932	-35.449	109.635
19952.623	-36.583	111.311
