3/4/2022	3:12 PM
Amplitude: 0.20 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
10.000	-0.011	-2.398
12.589	0.001	-2.234
15.849	-0.004	-3.143
19.953	-0.018	-4.282
25.119	-0.005	-4.889
31.623	-0.050	-6.484
39.811	-0.028	-7.964
50.119	-0.031	-9.712
63.096	-0.050	-12.537
79.433	-0.069	-15.726
100.000	-0.106	-19.532
125.893	-0.156	-24.859
158.489	-0.240	-31.450
199.526	-0.367	-39.595
251.189	-0.574	-49.825
316.228	-0.933	-63.199
398.107	-1.564	-80.132
501.187	-2.713	-100.735
630.957	-4.737	-125.266
794.328	-7.928	-150.742
1000.000	-12.205	-174.088
1258.925	-17.164	166.858
1584.893	-22.551	151.442
1995.262	-28.189	139.133
2511.886	-33.932	129.310
3162.278	-39.774	121.765
3981.072	-45.693	114.826
5011.872	-51.639	108.946
6309.573	-57.580	102.003
7943.282	-63.391	91.136
10000.000	-68.784	76.990
