3/4/2022	3:18 PM
Amplitude: 0.20 V
Freq (Hz) 	 Gain (dB) 	 Phase (deg)
10.000 -0.002 -2.691
12.589 -0.002 -3.379
15.849 -0.002 -4.247
19.953 -0.001 -5.339
25.119 0.000 -6.723
31.623 0.003 -8.448
39.811 0.007 -10.627
50.119 0.016 -13.366
63.096 0.032 -16.783
79.433 0.059 -21.167
100.000 0.112 -26.597
125.893 0.213 -33.678
158.489 0.405 -42.746
199.526 0.775 -55.001
251.189 1.432 -73.058
316.228 2.078 -104.769
398.107 -0.071 -153.906
501.187 -6.358 166.793
630.957 -13.277 145.587
794.328 -19.900 132.031
1000.000 -26.280 122.225
1258.925 -32.473 115.410
1584.893 -38.593 109.794
1995.262 -44.648 104.598
2511.886 -50.639 99.865
3162.278 -56.547 93.871
3981.072 -62.284 85.673
5011.872 -68.163 75.478
6309.573 -71.841 52.139
7943.282 -74.149 36.525
10000.000 -76.304 20.511
