Frequency,DB(MAG(V(NODE1))),PHDEG(V(NODE1))
10,0.002114562,-1.584999186
15.84893192,0.005374112,-2.513482314
25.11886432,0.013537578,-3.989288133
39.81071706,0.033889586,-6.345261594
63.09573445,0.084021372,-10.14703195
100,0.203376044,-16.44405274
158.4893192,0.456700881,-27.51087319
251.1886432,0.733412665,-49.0903837
398.1071706,-0.832815008,-90.00708413
630.9573445,-7.26524588,-130.9333605
1000,-15.54191706,-152.5296858
1584.893192,-23.79548658,-163.6223872
2511.886432,-31.91534938,-169.9678381
3981.071706,-39.96667978,-173.8776858
6309.573445,-47.98993117,-176.5292282
10000,-56.00411437,-178.9681107
