waveform	Ch0		Gen	
t0	10/8/2021  14:49:36.743802		10/8/2021  14:49:36.743806	
delta t	8.000000E-6		8.000000E-6	

time[0]	Ch0	time[1]	Gen
10/8/2021  14:49:36.743802	4.496520E-2	10/8/2021  14:49:36.743806	-3.579555E-2
10/8/2021  14:49:36.743810	1.985475E-1	10/8/2021  14:49:36.743814	-3.572711E-2
10/8/2021  14:49:36.743818	1.988213E-1	10/8/2021  14:49:36.743822	-3.504269E-2
10/8/2021  14:49:36.743826	1.984791E-1	10/8/2021  14:49:36.743830	-3.435828E-2
10/8/2021  14:49:36.743834	1.988213E-1	10/8/2021  14:49:36.743838	-3.333166E-2
10/8/2021  14:49:36.743842	1.995057E-1	10/8/2021  14:49:36.743846	-3.278413E-2
10/8/2021  14:49:36.743850	1.987528E-1	10/8/2021  14:49:36.743854	-3.148375E-2
10/8/2021  14:49:36.743858	1.988897E-1	10/8/2021  14:49:36.743862	-3.018336E-2
10/8/2021  14:49:36.743866	1.985475E-1	10/8/2021  14:49:36.743870	-2.867765E-2
10/8/2021  14:49:36.743874	1.988213E-1	10/8/2021  14:49:36.743878	-2.710350E-2
10/8/2021  14:49:36.743882	1.991635E-1	10/8/2021  14:49:36.743886	-2.546091E-2
10/8/2021  14:49:36.743890	1.984791E-1	10/8/2021  14:49:36.743894	-2.381832E-2
10/8/2021  14:49:36.743898	1.988213E-1	10/8/2021  14:49:36.743902	-2.162820E-2
10/8/2021  14:49:36.743906	1.984791E-1	10/8/2021  14:49:36.743910	-1.964340E-2
10/8/2021  14:49:36.743914	1.982737E-1	10/8/2021  14:49:36.743918	-1.759016E-2
10/8/2021  14:49:36.743922	1.993688E-1	10/8/2021  14:49:36.743926	-1.533160E-2
10/8/2021  14:49:36.743930	1.983422E-1	10/8/2021  14:49:36.743934	-1.307303E-2
10/8/2021  14:49:36.743938	1.985475E-1	10/8/2021  14:49:36.743942	-1.081447E-2
10/8/2021  14:49:36.743946	1.988213E-1	10/8/2021  14:49:36.743950	-8.487466E-3
10/8/2021  14:49:36.743954	1.988897E-1	10/8/2021  14:49:36.743958	-5.955137E-3
10/8/2021  14:49:36.743962	1.989581E-1	10/8/2021  14:49:36.743966	-3.696574E-3
10/8/2021  14:49:36.743970	1.985475E-1	10/8/2021  14:49:36.743974	-1.232687E-3
10/8/2021  14:49:36.743978	1.988213E-1	10/8/2021  14:49:36.743982	1.368083E-3
10/8/2021  14:49:36.743986	1.990266E-1	10/8/2021  14:49:36.743990	4.105735E-3
10/8/2021  14:49:36.743994	1.988897E-1	10/8/2021  14:49:36.743998	6.501181E-3
