waveform	Ch0		Gen	
t0	3/4/2022  15:19:29.755203		3/4/2022  15:19:29.755213	
delta t	2.000000E-5		2.000000E-5	

time[0]	Ch0	time[1]	Gen
3/4/2022  15:19:29.755203	-1.668715E-3	3/4/2022  15:19:29.755213	-9.942993E-3
3/4/2022  15:19:29.755223	-1.326802E-3	3/4/2022  15:19:29.755233	-1.021652E-2
3/4/2022  15:19:29.755243	-1.873862E-3	3/4/2022  15:19:29.755253	-1.049005E-2
3/4/2022  15:19:29.755263	-1.121655E-3	3/4/2022  15:19:29.755273	-1.083196E-2
3/4/2022  15:19:29.755283	-1.668715E-3	3/4/2022  15:19:29.755293	-1.076358E-2
3/4/2022  15:19:29.755303	-1.531950E-3	3/4/2022  15:19:29.755313	-1.055843E-2
3/4/2022  15:19:29.755323	-1.053273E-3	3/4/2022  15:19:29.755333	-1.062682E-2
3/4/2022  15:19:29.755343	-1.531950E-3	3/4/2022  15:19:29.755353	-1.062682E-2
3/4/2022  15:19:29.755363	-1.053273E-3	3/4/2022  15:19:29.755373	-1.090035E-2
3/4/2022  15:19:29.755383	-1.053273E-3	3/4/2022  15:19:29.755393	-1.090035E-2
3/4/2022  15:19:29.755403	-1.190037E-3	3/4/2022  15:19:29.755413	-1.069520E-2
3/4/2022  15:19:29.755423	-1.121655E-3	3/4/2022  15:19:29.755433	-1.069520E-2
3/4/2022  15:19:29.755443	-1.668715E-3	3/4/2022  15:19:29.755453	-1.076358E-2
3/4/2022  15:19:29.755463	-1.531950E-3	3/4/2022  15:19:29.755473	-1.076358E-2
3/4/2022  15:19:29.755483	-1.600332E-3	3/4/2022  15:19:29.755493	-1.076358E-2
3/4/2022  15:19:29.755503	-1.326802E-3	3/4/2022  15:19:29.755513	-1.049005E-2
3/4/2022  15:19:29.755523	-1.600332E-3	3/4/2022  15:19:29.755533	-1.042167E-2
3/4/2022  15:19:29.755543	-1.873862E-3	3/4/2022  15:19:29.755553	-1.042167E-2
3/4/2022  15:19:29.755563	-1.258420E-3	3/4/2022  15:19:29.755573	-1.007976E-2
3/4/2022  15:19:29.755583	-1.463567E-3	3/4/2022  15:19:29.755593	-1.007976E-2
3/4/2022  15:19:29.755603	-1.395185E-3	3/4/2022  15:19:29.755613	-1.007976E-2
3/4/2022  15:19:29.755623	-1.463567E-3	3/4/2022  15:19:29.755633	-9.669463E-3
3/4/2022  15:19:29.755643	-1.395185E-3	3/4/2022  15:19:29.755653	-9.942993E-3
3/4/2022  15:19:29.755663	-1.326802E-3	3/4/2022  15:19:29.755673	-9.669463E-3
3/4/2022  15:19:29.755683	-1.531950E-3	3/4/2022  15:19:29.755693	-9.190786E-3
3/4/2022  15:19:29.755703	1.640904E-1	3/4/2022  15:19:29.755713	-9.259168E-3
3/4/2022  15:19:29.755723	1.986919E-1	3/4/2022  15:19:29.755733	-9.122403E-3
3/4/2022  15:19:29.755743	1.984868E-1	3/4/2022  15:19:29.755753	-8.575343E-3
3/4/2022  15:19:29.755763	1.985551E-1	3/4/2022  15:19:29.755773	-8.575343E-3
3/4/2022  15:19:29.755783	1.983500E-1	3/4/2022  15:19:29.755793	-8.096666E-3
3/4/2022  15:19:29.755803	1.984184E-1	3/4/2022  15:19:29.755813	-7.754754E-3
3/4/2022  15:19:29.755823	1.982816E-1	3/4/2022  15:19:29.755833	-7.002547E-3
3/4/2022  15:19:29.755843	1.983500E-1	3/4/2022  15:19:29.755853	-6.455487E-3
3/4/2022  15:19:29.755863	1.981448E-1	3/4/2022  15:19:29.755873	-5.840045E-3
3/4/2022  15:19:29.755883	1.981448E-1	3/4/2022  15:19:29.755893	-5.019455E-3
3/4/2022  15:19:29.755903	1.981448E-1	3/4/2022  15:19:29.755913	-4.198866E-3
3/4/2022  15:19:29.755923	1.985551E-1	3/4/2022  15:19:29.755933	-3.241511E-3
3/4/2022  15:19:29.755943	1.984184E-1	3/4/2022  15:19:29.755953	-1.805480E-3
3/4/2022  15:19:29.755963	1.985551E-1	3/4/2022  15:19:29.755973	-5.745953E-4
3/4/2022  15:19:29.755983	1.986919E-1	3/4/2022  15:19:29.755993	9.298188E-4
3/4/2022  15:19:29.756003	1.984868E-1	3/4/2022  15:19:29.756013	2.502615E-3
3/4/2022  15:19:29.756023	1.982816E-1	3/4/2022  15:19:29.756033	4.348942E-3
3/4/2022  15:19:29.756043	1.982816E-1	3/4/2022  15:19:29.756053	6.263651E-3
3/4/2022  15:19:29.756063	1.979397E-1	3/4/2022  15:19:29.756073	8.041595E-3
3/4/2022  15:19:29.756083	1.980081E-1	3/4/2022  15:19:29.756093	1.043498E-2
3/4/2022  15:19:29.756103	1.978713E-1	3/4/2022  15:19:29.756113	1.269160E-2
3/4/2022  15:19:29.756123	1.985551E-1	3/4/2022  15:19:29.756133	1.529014E-2
3/4/2022  15:19:29.756143	1.982816E-1	3/4/2022  15:19:29.756153	1.782029E-2
3/4/2022  15:19:29.756163	1.983500E-1	3/4/2022  15:19:29.756173	2.055559E-2
3/4/2022  15:19:29.756183	1.980765E-1	3/4/2022  15:19:29.756193	2.335927E-2
3/4/2022  15:19:29.756203	1.980081E-1	3/4/2022  15:19:29.756213	2.650486E-2
3/4/2022  15:19:29.756223	1.983500E-1	3/4/2022  15:19:29.756233	2.999237E-2
3/4/2022  15:19:29.756243	1.980081E-1	3/4/2022  15:19:29.756253	3.293281E-2
3/4/2022  15:19:29.756263	1.984868E-1	3/4/2022  15:19:29.756273	3.669385E-2
3/4/2022  15:19:29.756283	1.983500E-1	3/4/2022  15:19:29.756293	4.011297E-2
3/4/2022  15:19:29.756303	1.981448E-1	3/4/2022  15:19:29.756313	4.394239E-2
3/4/2022  15:19:29.756323	1.981448E-1	3/4/2022  15:19:29.756333	4.756666E-2
3/4/2022  15:19:29.756343	1.984184E-1	3/4/2022  15:19:29.756353	5.160122E-2
3/4/2022  15:19:29.756363	1.987603E-1	3/4/2022  15:19:29.756373	5.556741E-2
3/4/2022  15:19:29.756383	1.983500E-1	3/4/2022  15:19:29.756393	5.953359E-2
3/4/2022  15:19:29.756403	1.982816E-1	3/4/2022  15:19:29.756413	6.370492E-2
3/4/2022  15:19:29.756423	1.982132E-1	3/4/2022  15:19:29.756433	6.814978E-2
3/4/2022  15:19:29.756443	1.985551E-1	3/4/2022  15:19:29.756453	7.225273E-2
3/4/2022  15:19:29.756463	1.979397E-1	3/4/2022  15:19:29.756473	7.649244E-2
3/4/2022  15:19:29.756483	1.980765E-1	3/4/2022  15:19:29.756493	8.100568E-2
3/4/2022  15:19:29.756503	1.988970E-1	3/4/2022  15:19:29.756513	8.538216E-2
3/4/2022  15:19:29.756523	1.983500E-1	3/4/2022  15:19:29.756533	8.982702E-2
3/4/2022  15:19:29.756543	1.986235E-1	3/4/2022  15:19:29.756553	9.434026E-2
3/4/2022  15:19:29.756563	1.984184E-1	3/4/2022  15:19:29.756573	9.871674E-2
3/4/2022  15:19:29.756583	1.979397E-1	3/4/2022  15:19:29.756593	1.033667E-1
3/4/2022  15:19:29.756603	1.984184E-1	3/4/2022  15:19:29.756613	1.079484E-1
3/4/2022  15:19:29.756623	1.984184E-1	3/4/2022  15:19:29.756633	1.124616E-1
3/4/2022  15:19:29.756643	1.983500E-1	3/4/2022  15:19:29.756653	1.169749E-1
3/4/2022  15:19:29.756663	1.982816E-1	3/4/2022  15:19:29.756673	1.215565E-1
3/4/2022  15:19:29.756683	1.982132E-1	3/4/2022  15:19:29.756693	1.261381E-1
3/4/2022  15:19:29.756703	1.984868E-1	3/4/2022  15:19:29.756713	1.308565E-1
3/4/2022  15:19:29.756723	1.986235E-1	3/4/2022  15:19:29.756733	1.351646E-1
3/4/2022  15:19:29.756743	1.984184E-1	3/4/2022  15:19:29.756753	1.394043E-1
3/4/2022  15:19:29.756763	1.984184E-1	3/4/2022  15:19:29.756773	1.440543E-1
3/4/2022  15:19:29.756783	1.982132E-1	3/4/2022  15:19:29.756793	1.482256E-1
3/4/2022  15:19:29.756803	1.982816E-1	3/4/2022  15:19:29.756813	1.527389E-1
3/4/2022  15:19:29.756823	1.983500E-1	3/4/2022  15:19:29.756833	1.567734E-1
3/4/2022  15:19:29.756843	1.980765E-1	3/4/2022  15:19:29.756853	1.606712E-1
3/4/2022  15:19:29.756863	1.980765E-1	3/4/2022  15:19:29.756873	1.646374E-1
3/4/2022  15:19:29.756883	1.984868E-1	3/4/2022  15:19:29.756893	1.688771E-1
