waveform	Ch0		Gen	
t0	2/11/2022  14:55:10.653318		2/11/2022  14:55:10.653330	
delta t	4.000000E-5		4.000000E-5	

time[0]	Ch0	time[1]	Gen
2/11/2022  14:55:10.653318	-2.467447E-3	2/11/2022  14:55:10.653330	9.791198E-1
2/11/2022  14:55:10.653358	-1.489446E-3	2/11/2022  14:55:10.653370	9.690138E-1
2/11/2022  14:55:10.653398	-1.815446E-3	2/11/2022  14:55:10.653410	9.598858E-1
2/11/2022  14:55:10.653438	-2.141447E-3	2/11/2022  14:55:10.653450	9.517358E-1
2/11/2022  14:55:10.653478	-2.793447E-3	2/11/2022  14:55:10.653490	9.435858E-1
2/11/2022  14:55:10.653518	-2.141447E-3	2/11/2022  14:55:10.653530	9.347837E-1
2/11/2022  14:55:10.653558	-2.467447E-3	2/11/2022  14:55:10.653570	9.266337E-1
2/11/2022  14:55:10.653598	-1.815446E-3	2/11/2022  14:55:10.653610	9.175057E-1
2/11/2022  14:55:10.653638	-2.141447E-3	2/11/2022  14:55:10.653650	9.100077E-1
2/11/2022  14:55:10.653678	-2.141447E-3	2/11/2022  14:55:10.653690	9.018577E-1
2/11/2022  14:55:10.653718	-1.489446E-3	2/11/2022  14:55:10.653730	8.940337E-1
2/11/2022  14:55:10.653758	-1.489446E-3	2/11/2022  14:55:10.653770	8.868617E-1
2/11/2022  14:55:10.653798	-1.489446E-3	2/11/2022  14:55:10.653810	8.790377E-1
2/11/2022  14:55:10.653838	-2.793447E-3	2/11/2022  14:55:10.653850	8.718657E-1
2/11/2022  14:55:10.653878	-1.815446E-3	2/11/2022  14:55:10.653890	8.643677E-1
2/11/2022  14:55:10.653918	-2.467447E-3	2/11/2022  14:55:10.653930	8.568696E-1
2/11/2022  14:55:10.653958	-1.163445E-3	2/11/2022  14:55:10.653970	8.487196E-1
2/11/2022  14:55:10.653998	-2.141447E-3	2/11/2022  14:55:10.654010	8.425256E-1
2/11/2022  14:55:10.654038	-1.489446E-3	2/11/2022  14:55:10.654050	8.363316E-1
2/11/2022  14:55:10.654078	-2.467447E-3	2/11/2022  14:55:10.654090	8.278556E-1
2/11/2022  14:55:10.654118	-2.141447E-3	2/11/2022  14:55:10.654130	8.210096E-1
2/11/2022  14:55:10.654158	-1.489446E-3	2/11/2022  14:55:10.654170	8.138376E-1
2/11/2022  14:55:10.654198	-2.467447E-3	2/11/2022  14:55:10.654210	8.069916E-1
2/11/2022  14:55:10.654238	-1.815446E-3	2/11/2022  14:55:10.654250	8.004716E-1
2/11/2022  14:55:10.654278	-1.489446E-3	2/11/2022  14:55:10.654290	7.939516E-1
