2/25/2022	3:25 PM
Amplitude: 0.20 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
100.000	20.206	179.881
125.893	20.207	179.853
158.489	20.206	179.929
199.526	20.207	179.794
251.189	20.207	179.713
316.228	20.206	179.863
398.107	20.207	179.578
501.187	20.206	179.785
630.957	20.206	179.424
794.328	20.208	179.315
1000.000	20.204	179.571
1258.925	20.204	178.846
1584.893	20.203	178.559
1995.262	20.201	178.181
2511.886	20.199	177.698
3162.278	20.195	177.100
3981.072	20.188	176.317
5011.872	20.178	175.402
6309.573	20.162	174.192
7943.282	20.135	172.718
10000.000	20.127	168.287
12589.254	20.028	168.330
15848.932	19.920	165.190
19952.623	19.745	161.187
